"results__layerId","results__layerName","results__displayFieldName","results__value","results__attributes__OBJECTID","results__attributes__HES Adı","results__attributes__Kurum","results__attributes__Aşaması(seç)","results__attributes__Akarsu Adı","results__attributes__SHAPE","results__geometryType","results__geometry__x","results__geometry__y","results__geometry__spatialReference__wkid","results__geometry__spatialReference__latestWkid","exceededTransferLimit"
"25","İşletme Durumuna Göre HES","HES_ADI","Köyobası","1419","Köyobası","Özel(Yap İşlet Devret)","SKHA","Yaralı Dere","Point","esriGeometryPoint","36.948283667357956","38.043740185753542","4326","4326",""
"25","İşletme Durumuna Göre HES","HES_ADI","Hacınınoğlu","1459","Hacınınoğlu","Özel(Yap İşlet Devret)","Insa Halinde","Ceyhan N.","Point","esriGeometryPoint","36.970471195476435","37.830024664763265","4326","4326",""
"25","İşletme Durumuna Göre HES","HES_ADI","Çakmak-2 ","155","Çakmak-2","Özel(Yap İşlet)","Fizibilite","Söğütlübuynu D.","Point","esriGeometryPoint","36.973048701928001","37.858686389573364","4326","4326",""
"25","İşletme Durumuna Göre HES","HES_ADI","Köprübaşı HES","468","Köprübaşı HES","Özel(Yap İşlet)","Fizibilite","Cevizdere","Point","esriGeometryPoint","37.152767141117565","40.896354938119842","4326","4326",""
"25","İşletme Durumuna Göre HES","HES_ADI","Kesme  ","1448","Kesme","Özel(Yap İşlet Devret)","Insa Halinde","Aksu Ç.","Point","esriGeometryPoint","37.189692872302786","37.462326243212623","4326","4326",""
"25","İşletme Durumuna Göre HES","HES_ADI","Kavşak HES","423","Kavşak HES","Özel(Yap İşlet)","Fizibilite","Bolaman","Point","esriGeometryPoint","37.451178662995133","40.872702731613614","4326","4326",""
"25","İşletme Durumuna Göre HES","HES_ADI","Çukurkaya HES","369","Çukurkaya HES","Özel(Yap İşlet Devret)","Fizibilite","Tohma Ç.","Point","esriGeometryPoint","37.490439229789331","38.564347871130174","4326","4326",""
"25","İşletme Durumuna Göre HES","HES_ADI","Yazıköy","338","Yazıköy","Kamu","Null","Null","Point","esriGeometryPoint","37.612306008664056","38.564590433981692","4326","4326",""
"25","İşletme Durumuna Göre HES","HES_ADI","Merkez HES","284","Merkez HES","Özel(Yap İşlet Devret)","Fizibilite","Tohma Ç.","Point","esriGeometryPoint","37.82470482347248","38.50733498488615","4326","4326",""
"25","İşletme Durumuna Göre HES","HES_ADI","Sincan HES","143","Sincan HES","Özel(Yap İşlet)","SKHA","Null","Point","esriGeometryPoint","37.919999992181083","39.410721074402744","4326","4326",""
"25","İşletme Durumuna Göre HES","HES_ADI","Ordu HES","425","Ordu HES","Özel(Yap İşlet)","Fizibilite","Melet","Point","esriGeometryPoint","37.933866478161427","40.906497635894276","4326","4326",""
"25","İşletme Durumuna Göre HES","HES_ADI","Kaleköy","1426","Kaleköy","Özel(Yap İşlet Devret)","SKHA","Göksu N., Sofraz Ç.,Değirmen Ç.","Point","esriGeometryPoint","37.946555367040858","37.621923443351029","4326","4326",""
"25","İşletme Durumuna Göre HES","HES_ADI","Pınar","1418","Pınar","Özel(Yap İşlet Devret)","Isletmede","Göksu N.","Point","esriGeometryPoint","37.948419121888229","37.766269483407235","4326","4326",""
"25","İşletme Durumuna Göre HES","HES_ADI","Derinçay HES","1505","Derinçay HES","Kamu","ÖN BŞV.","Null","Point","esriGeometryPoint","37.982535288866927","40.772842996907798","4326","4326",""
"25","İşletme Durumuna Göre HES","HES_ADI","Gürlavik","163","Gürlavik","Özel(Yap İşlet Devret)","SKHA","Göksu N.,Şepker Ç.,Gürlavik  D.","Point","esriGeometryPoint","38.02403643225113","37.851215803317238","4326","4326",""
"25","İşletme Durumuna Göre HES","HES_ADI","Merek HES","843","Merek HES","Kamu","FZB","Null","Point","esriGeometryPoint","38.118195010765788","40.628008243507885","4326","4326",""
"25","İşletme Durumuna Göre HES","HES_ADI","Gelen HES","851","Gelen HES","Kamu","ÖN BAŞVURU","Null","Point","esriGeometryPoint","38.132462817871762","40.748881905701225","4326","4326",""
"25","İşletme Durumuna Göre HES","HES_ADI","Tokmadin HES","668","Tokmadin HES","Özel(Yap İşlet Devret)","FZB","Pazarsuyu","Point","esriGeometryPoint","38.153666394034261","40.703826122959981","4326","4326",""
"25","İşletme Durumuna Göre HES","HES_ADI","Polat HES","148","Polat HES","Özel(Yap İşlet)","SKHA","Null","Point","esriGeometryPoint","38.192195405969017","40.052096140797204","4326","4326",""
